College/University Name,Street,City,State,Latitude,Longitude,Group
Adrian College,10 S Madison St,Adrian,MI,41.89933656,-84.04454673,2.0
Alfred State College  (add 2018),10 Upper College Drive,Alfred,NY,42.25433368,-77.78964604,
Alma College,614 W Superior St,Alma,MI,43.38001144,-84.65565437,6.0
Augsburg,2211 Riverside Ave,Minneapolis,MN,44.96354079,-93.26783453,6.0
Augustana (IL),639 38th St,Rock Island,IL,41.47059084,-90.58373308,2.0
Averett University (add 2017),420 W Main St,Danville,VA,36.58314079,-79.40876963,5.0
Baldwin Wallace,275 Eastland Rd,Berea,OH,41.3696768,-81.86433349,6.0
Bridgewater State University,131 Summer Street,Bridgewater ,MA,41.98880881,-70.97180703,4.0
The College at Brockport,350 New Campus Dr,Brockport ,NY,43.211366,-77.954699,4.0
Buena Vista,610 W 4th St,Storm Lake,IA,42.64408234,-95.19900169,6.0
Case Western Reserve,10900 Euclid Ave,Cleveland,OH,41.50273893,-81.60733449,6.0
Castleton University,"62 Alumni Dr,",Castleton,VT,43.60539542,-73.18517598,4.0
Centenary (NJ),400 Jefferson St,Hackettstown,NJ,40.85399244,-74.82567817,3.0
Central College,812 University St,Pella ,IA,41.40451929,-92.91799576,6.0
Chicago,5801 S Ellis Ave,Chicago ,IL,41.83861021,-87.68661087,2.0
Coast Guard,31 Mohegan Ave Pkwy,New London,CT,41.33285515,-72.09627455,4.0
Coe,1220 First Avenue NE,Cedar Rapids ,IA,41.96678846,-91.67818981,2.0
College of Mount Saint Vincent,6301 Riverdale Ave,Bronx ,NY,40.84911597,-73.85295233,3.0
Concordia (WI),12800 N Lake Shore Dr,Mequon,WI,43.23512416,-87.98079447,1.0
Concordia-Moorhead,901 8th St St,Moorhead,MN,46.85868171,-96.74244891,6.0
Cornell College,600 1st St,Mt Vernon,IA,42.03266569,-93.45964983,1.0
Delaware Valley,700 E Butler Ave,Doylestown,PA,40.31391804,-75.12804792,3.0
Dubuque,2000 University Ave,Dubuque,IA,42.497787,-90.692193,2.0
Elizabethtown,1 Alpha Dr,Elizabethtown,PA,40.15326247,-76.59895613,5.0
Elmhurst,190 S Prospect Ave,Elmhurst,IL,41.89717648,-87.94316943,1.0
Ferrum College,215 Ferrum Mountain Rd,Ferrum,VA,36.93136682,-80.01487485,5.0
Gettysburg,300 N Washington St,Gettysburg,PA,39.83036117,-77.23386301,5.0
Greensboro College,815 W Market St,Greensboro,NC,36.07131282,-79.80138949,5.0
Hampden-Sydney College,"80 College Rd,",Hampden Sydney ,VA,37.64882817,-78.70157159,5.0
Heidelberg,310 E Market St,Tiffin,OH,41.11662868,-83.1800018,6.0
Hunter,695 Park Ave,New York,NY,40.768608,-73.96505,3.0
Ithaca,953 Danby Rd,Ithaca,NY,42.4222,-76.5,3.0
John Carroll,1 John Carroll Boulevard,University Heights,OH,41.4948048,-81.53482107,6.0
Johns Hopkins,400 N. Charles Street,Baltimore,MD,39.30097988,-76.61064805,5.0
Johnson & Wales (RI),8 Abbott Park Pl,Providence,RI,41.819957,-71.412757,4.0
Keystone College,1 College Rd,La Plume,PA,41.55785316,-75.75807206,3.0
King's (PA),133 N River St,Wilkes-Barre,PA,41.249695,-75.879898,5.0
Lakeland,W3718 South Dr,Plymouth,WI,43.74524838,-87.96537,1.0
Loras,"450 Alta Vista St,",Dubuque,IA,42.497053,-90.677158,1.0
Luther,700 College Dr,Decorah,IA,43.3018084,-91.78499933,2.0
Lycoming,700 College Pl,Williamsport,PA,41.246018,-77.03713,5.0
MacMurray College,447 E College Ave,Jacksonville,IL,39.72882669,-90.23136807,2.0
Manchester,604 E College Ave,North Manchester,IA,42.03266569,-93.45964983,1.0
McDaniel,2 College Hill,Westminster,MD,39.5798604,-77.00658514,5.0
Merchant Marine,300 Steamboat Rd,Kings Point,NY,40.81701767,-73.74065971,3.0
Messiah,1 College Ave,Mechanicsburg,PA,40.21145616,-77.00603344,5.0
Millikin,184 W Main St,Decatur,IL,39.85565673,-88.93382251,2.0
Milwaukee School of Engineering,1025 N Broadway,Milwaukee,WI,43.0641114,-87.96721631,2.0
Mount St. Joseph,5701 Delhi Ave,Cincinnati,OH,39.14291321,-84.50366914,2.0
Mount Union,1972 Clark Ave,Alliance,OH,40.91050774,-81.11891501,6.0
