UniqueID,College/University Name,Street,City ,State,Latitude,Longitude,Power-1,Power-2,NCAA Asgt,ND Asgt,ND Asgt2,ND Asgt3
84,Trine University,1 University Ave,Angola,IN,41.64336701,-85.00412812,0.1593,0.2390,3,2,4,5
85,Trinity (CT),300 Summit St,Hartford,CT,41.74513266,-72.69049722,0.2247,0.2740,6,3,6,4
86,(EXCLUDE) University of the Ozarks,415 N College Ave,Clarksville,AR,35.4567154,-93.48082565,0.2306,0.3030,1,1,3,2
87,Ursinus,01 E Main St,Collegeville,PA,40.18724249,-75.45806859,0.887,0.5220,5,3,3,2
88,Wabash,01 W Wabash Ave,Crawfordsville,IN,40.04325862,-86.89669866,10.21,9.8450,3,2,4,6
89,Wartburg,100 Wartburg Blvd,Waverly,IA,42.72512969,-92.46976202,23.0051,22.9910,1,4,4,3
90,Washington and Jefferson,60 S Lincoln St,Washington,PA,40.17396328,-80.24672879,4.1063,4.5450,3,6,1,5
91,Washington and Lee,"204 W Washington St,",Lexington,VA,37.78251178,-79.44387717,0.2797,0.3000,4,5,1,1
92,Waynesburg,51 W College S,Waynesburg,PA,39.8982937,-80.18558176,1.0596,0.3370,3,5,1,5
93,Wesleyan (CT),45 Wyllys Ave,Middletown,CT,41.54763592,-72.65487658,0,0.3570,6,4,2,4
94,Western New England,1215 Wilbraham Rd,Springfield,MA,42.113406,-72.522606,0.2126,0.2710,6,4,6,4
95, Westminster (add 2017),501 Westminster Ave,Fulton,MO,38.850003,-91.954548,0,0.0000,1,2,4,6
96,Wheaton (IL),501 College Ave,Wheaton,IL,41.85610452,-88.10861414,1.5323,1.5520,2,1,4,3
97,Wilkes,84 W South St,Wilkes-Barre,PA,41.244404,-75.888692,0.752,0.3950,4,5,3,2
98,Williams College,880 Main St,Williamstown,MA,42.70869528,-73.20121253,2.9415,2.8940,6,3,2,4
99,Wisconsin-Eau Claire,105 Garfield Ave,Eau Claire,WI,44.82048383,-91.49477515,2.3405,2.7170,2,1,5,3
100,Wisconsin-La Crosse,1725 State St,La Crosse ,WI,43.82319993,-91.22774223,7.0943,7.0950,2,1,6,6
101,Wisconsin-Oshkosh,800 Algoma Blvd,Oshkosh,WI,44.7536765,-89.63679943,0,0.2940,2,1,5,3
102,Wisconsin-Platteville,1 University Plaza,Plattville,WI,42.73326047,-90.47085142,0.2265,0.5710,2,1,5,6
103,Wisconsin-Stevens Point,100 Main St,Stevens Point,WI,44.52529024,-89.55483581,2.869,3.5240,2,1,5,3
104,Wisconsin-Whitewater,800 W Main St,Whitewater,WI,44.7536765,-89.63679943,4.5731,3.0800,2,1,5,3
105,Worcester Polytechnic,00 Institute Rd,Worcester,MA,42.09684686,-71.51170183,0.6456,0.3080,6,4,2,4
106,York (PA),443 Country Club Rd,York,PA,39.96510038,-76.73153121,2.9504,3.3520,4,5,3,1
